"","_id","field","description","createdBy","updatedAt","createdAt","isDeleted","isActive","spOutputs","outputs","inputs","context_filter","context_set","shareWithSP","intentType","__v","updatedBy"
"1","5ca6ba35c1c6a000162acb05","sp_what_wifi","Hỏi tài khoản wifi","5bf4be41b531d76e9337924b",2019-04-04 10:36:00,2019-04-04 10:36:00,FALSE,TRUE,"c(""5cb98086178d8f0016875822"", ""5cb98395178d8f0016875844"", ""5cb9985aabf7ae0016ff83ac"", ""5cb99d3c178d8f0016875959"")","character(0)","character(0)","list()","list()",TRUE,"4",0,NA
"2","5ca437cd784a0d00166852b1","sp_thanks","Cảm ơn","5bf4be41b531d76e9337924b",2019-04-03 11:03:13,2019-04-03 11:03:13,FALSE,TRUE,"c(""5ca47a7d784a0d0016685351"", ""5ca47b4b784a0d0016685356"", ""5ca47bd5784a0d001668535b"", ""5ca6c65a6ed59e00160aaa37"")","character(0)","character(0)","list()","list()",TRUE,"4",0,NA
"3","5ca4332b784a0d00166852ac","sp_what_discount","Có giảm giá/ưu đãi hay không?","5bf4be41b531d76e9337924b",2019-04-11 14:03:44,2019-04-03 11:03:13,FALSE,TRUE,"c(""5cb97e2a178d8f00168757f0"", ""5cb97fd2abf7ae0016ff826a"", ""5cb994ad178d8f0016875917"", ""5cb99ae2178d8f0016875931"")","character(0)","character(0)","list()","list()",TRUE,"4",0,"5bf4be41b531d76e9337924b"
"4","5ca437866625e500168dd52e","sp_info","Thông tin của quán","5bf4be41b531d76e9337924b",2019-04-11 14:19:20,2019-04-03 11:03:07,FALSE,TRUE,"c(""5cb69e95e0a63f00169c8d0f"", ""5cb6a909e0a63f00169c8d35"", ""5cb9772a178d8f001687574f"", ""5cb97905178d8f001687576d"")","character(0)","character(0)","list()","list()",TRUE,"4",0,"5bf4be41b531d76e9337924b"
"5","5c93b78da48fcb00163667ca","fad_tich_diem",NA,"5a25cd17f36d280fefe391ac",2019-03-21 15:08:44,2019-03-21 15:08:44,FALSE,TRUE,"list()","5c93b78da48fcb00163667c8","5c93b78da48fcb00163667c7","list()","list()",FALSE,"0",0,NA
"6","5c93b6fea48fcb00163667c4","all_tich_diem",NA,"5a25cd17f36d280fefe391ac",2019-03-21 15:08:44,2019-03-21 15:08:44,FALSE,TRUE,"list()","5c93b6fea48fcb00163667c2","c(""5c93b6fea48fcb00163667c0"", ""5c93b6fea48fcb00163667c1"")","list()","list()",FALSE,"0",0,NA
"7","5c92c306ce5af9001683b256","most_beautiful",NA,"5a25cd17f36d280fefe391ac",2019-03-20 18:14:08,2019-03-20 18:14:08,FALSE,TRUE,"list()","5c92c306ce5af9001683b254","c(""5c92c306ce5af9001683b251"", ""5c92c306ce5af9001683b252"", ""5c92c306ce5af9001683b253"")","list()","list()",FALSE,"0",0,NA
"8","5c92c9dd2ce13c00160aebf5","all_promotion",NA,"5a25cd17f36d280fefe391ac",2019-03-20 17:55:28,2019-03-20 17:55:28,FALSE,TRUE,"list()","5c92c9dd2ce13c00160aebf3","c(""5c92c9dd2ce13c00160aebec"", ""5c92c9dd2ce13c00160aebed"", ""5c92c9dd2ce13c00160aebee"", ""5c92c9dd2ce13c00160aebef"", ""5c92c9dd2ce13c00160aebf0"", ""5c92c9dd2ce13c00160aebf1"", ""5c92c9dd2ce13c00160aebf2"")","list()","list()",FALSE,"0",0,NA
"9","5c808e9d42322400163d6e96","GONJOY",NA,"5c6e19c7b531d76e930ff248",2019-03-07 10:23:40,2019-03-06 12:07:31,FALSE,TRUE,"list()","5c808e9d42322400163d6e94","character(0)","list()","list()",FALSE,"0",0,"5c6e19c7b531d76e930ff248"
"10","5c7cdc00aea8110016c013ce","ask_language",NA,"5a502b7306f776d2ffa2fea6",2019-03-05 10:56:43,2019-03-04 07:55:28,FALSE,TRUE,"list()","5c7cdc00aea8110016c013cc","c(""5c7cdc00aea8110016c013c4"", ""5c7cdc00aea8110016c013c5"", ""5c7cdc00aea8110016c013c6"", ""5c7cdc00aea8110016c013c7"", ""5c7cdc00aea8110016c013c8"", ""5c7cdc00aea8110016c013c9"", ""5c7cdc00aea8110016c013ca"", ""5c7cdc00aea8110016c013cb"", ""5c7df37b65fd8e0016b79743"", ""5c7df37b65fd8e0016b79745"", ""5c7df37b65fd8e0016b79746"")","list()","list()",FALSE,"0",0,"5a502b7306f776d2ffa2fea6"
"11","5c739890f2fc6f0016eea119","sp_what_signature_find_place","ctx_find_place > sp_what_signature","5c6e19c7b531d76e930ff248",2019-03-04 08:46:59,2019-02-25 07:25:34,TRUE,TRUE,"list()","5c739890f2fc6f0016eea117","character(0)","5c73699ff2fc6f0016eea0f9","list()",FALSE,"0",0,"5c6e19c7b531d76e930ff248"
"12","5c739979f2fc6f0016eea11f","promotion_routed_fr_ctx_find_place","ctx_find_place >> ctx_promotion","5c6e19c7b531d76e930ff248",2019-03-04 08:48:11,2019-02-25 07:25:34,TRUE,TRUE,"list()","5c739979f2fc6f0016eea11d","character(0)","list()","5c7c81d866e51000163165b1",FALSE,"0",0,"5a25cd17f36d280fefe391ac"
"13","5c739916f2fc6f0016eea11c","ship_routed_fr_ctx_find_place","ctx_find_place >> ctx_online_food","5c6e19c7b531d76e930ff248",2019-03-04 16:22:51,2019-02-25 07:25:34,TRUE,TRUE,"list()","5c739916f2fc6f0016eea11a","character(0)","list()","5c7c859d66e51000163165b4",FALSE,"0",0,"5a25cd17f36d280fefe391ac"
"14","5c73970cf2fc6f0016eea112","location_place","Context set for ctx_find_place (post intent)","5c6e19c7b531d76e930ff248",2019-02-25 15:16:34,2019-02-25 07:25:34,TRUE,TRUE,"list()","5c73970cf2fc6f0016eea110","character(0)","list()","list()",FALSE,"0",0,"5c6e19c7b531d76e930ff248"
"15","5c73980df2fc6f0016eea116","location_find_place","location in ctx_find_place (post intent)","5c6e19c7b531d76e930ff248",2019-02-25 15:17:52,2019-02-25 07:25:34,TRUE,TRUE,"list()","5c73980df2fc6f0016eea114","character(0)","list()","list()",FALSE,"0",0,"5c6e19c7b531d76e930ff248"
"16","5c7373e3f2fc6f0016eea102","faq_promotion_routed_fr_ctx_find_place","ctx_find_place >> ctx_promotion","5c6e19c7b531d76e930ff248",2019-03-04 08:49:07,2019-02-25 07:25:34,TRUE,TRUE,"list()","5c7373e3f2fc6f0016eea100","character(0)","list()","5c7c81d866e51000163165b1",FALSE,"0",0,"5a25cd17f36d280fefe391ac"
"17","5c7393fdf2fc6f0016eea10e","ask_address_place","Context set for ctx_find_place (post intent)","5c6e19c7b531d76e930ff248",2019-03-04 08:41:51,2019-02-25 07:25:34,FALSE,TRUE,"list()","5c7393fdf2fc6f0016eea10c","character(0)","list()","5c73699ff2fc6f0016eea0f9",FALSE,"0",0,"5c6e19c7b531d76e930ff248"
"18","5c7392daf2fc6f0016eea10b","sp_what_menu_place","Context set for ctx_find_place (post intent)","5c6e19c7b531d76e930ff248",2019-02-25 15:11:38,2019-02-25 07:25:34,TRUE,TRUE,"list()","5c7392daf2fc6f0016eea109","character(0)","list()","list()",FALSE,"0",0,"5c6e19c7b531d76e930ff248"
"19","5c739945558bf400162bfc3e","sp_how_ship_fee_routed_fr_ctx_find_place","ctx_find_place >> ctx_online_food","5c6e19c7b531d76e930ff248",2019-03-04 16:24:10,2019-02-24 21:22:55,TRUE,TRUE,"list()","5c739945558bf400162bfc3c","character(0)","list()","5c7c859d66e51000163165b4",FALSE,"0",0,"5a25cd17f36d280fefe391ac"
