"","_id","field","createdBy","updatedAt","createdAt","isDeleted","isActive","isTrained","__v","updatedBy","content","language"
"1","5cc1800e19729c0016aa734f","yes","5a502b7306f776d2ffa2fea6",2019-04-25 15:18:23,2019-04-25 15:18:23,FALSE,TRUE,FALSE,0,NA,"okay","vi"
"2","5cc1800e19729c0016aa7351","yes","5a502b7306f776d2ffa2fea6",2019-04-25 15:18:23,2019-04-25 15:18:23,FALSE,TRUE,FALSE,0,NA,"okê","vi"
"3","5cc1800e19729c0016aa7350","yes","5a502b7306f776d2ffa2fea6",2019-04-25 15:18:23,2019-04-25 15:18:23,FALSE,TRUE,FALSE,0,NA,"oke","vi"
"4","5cc1800e19729c0016aa734e","yes","5a502b7306f776d2ffa2fea6",2019-04-25 15:18:23,2019-04-25 15:18:23,FALSE,TRUE,FALSE,0,NA,"okie","vi"
"5","5ca6ba35c1c6a000162acb04","sp_what_wifi","5bf4be41b531d76e9337924b",2019-04-04 10:36:00,2019-04-04 10:36:00,TRUE,TRUE,FALSE,0,NA,"","vi"
"6","5ca437cd784a0d00166852b0","sp_thanks","5bf4be41b531d76e9337924b",2019-04-03 11:03:13,2019-04-03 11:03:13,TRUE,TRUE,FALSE,0,NA,"","vi"
"7","5ca437866625e500168dd52d","sp_info","5bf4be41b531d76e9337924b",2019-04-03 11:03:07,2019-04-03 11:03:07,TRUE,TRUE,FALSE,0,NA,"","vi"
"8","5c93b78da48fcb00163667c7","fad_tich_diem","5a25cd17f36d280fefe391ac",2019-03-21 15:08:44,2019-03-21 15:08:44,FALSE,TRUE,FALSE,0,NA,"tích điểm làm cách nào","vi"
"9","5c93b6fea48fcb00163667c1","all_tich_diem","5a25cd17f36d280fefe391ac",2019-03-21 15:08:44,2019-03-21 15:08:44,FALSE,TRUE,FALSE,0,NA,"tất cả tích điểm","vi"
"10","5c93b6fea48fcb00163667c0","all_tich_diem","5a25cd17f36d280fefe391ac",2019-03-21 15:08:44,2019-03-21 15:08:44,FALSE,TRUE,FALSE,0,NA,"có tích điểm nào khác không ?","vi"
"11","5c92c306ce5af9001683b252","most_beautiful","5a25cd17f36d280fefe391ac",2019-03-20 18:14:08,2019-03-20 18:14:08,FALSE,TRUE,FALSE,0,NA,"quán nào đẹp","vi"
"12","5c92c306ce5af9001683b251","most_beautiful","5a25cd17f36d280fefe391ac",2019-03-20 18:14:08,2019-03-20 18:14:08,FALSE,TRUE,FALSE,0,NA,"quán nào đẹp nhất","vi"
"13","5c92c306ce5af9001683b253","most_beautiful","5a25cd17f36d280fefe391ac",2019-03-20 18:14:08,2019-03-20 18:14:08,FALSE,TRUE,FALSE,0,NA,"quán đẹp á","vi"
"14","5c92c2f12ce13c00160aebe9","most_beautiful","5a25cd17f36d280fefe391ac",2019-03-20 17:55:28,2019-03-20 17:55:28,FALSE,TRUE,FALSE,0,NA,"quán đẹp á","vi"
"15","5c92c2f12ce13c00160aebe7","most_beautiful","5a25cd17f36d280fefe391ac",2019-03-20 17:55:28,2019-03-20 17:55:28,FALSE,TRUE,FALSE,0,NA,"quán nào đẹp nhất","vi"
"16","5c92c2f12ce13c00160aebe8","most_beautiful","5a25cd17f36d280fefe391ac",2019-03-20 17:55:28,2019-03-20 17:55:28,FALSE,TRUE,FALSE,0,NA,"quán nào đẹp","vi"
"17","5c92c9dd2ce13c00160aebf2","all_promotion","5a25cd17f36d280fefe391ac",2019-03-20 17:55:28,2019-03-20 17:55:28,FALSE,TRUE,FALSE,0,NA,"có khuyến mãi nào nữa không","vi"
"18","5c92c9dd2ce13c00160aebf1","all_promotion","5a25cd17f36d280fefe391ac",2019-03-20 17:55:28,2019-03-20 17:55:28,FALSE,TRUE,FALSE,0,NA,"có khuyến mãi nào khác không","vi"
